crater_id,crater_latitude,crater_longitude,crater_diameter_km,ohrc_product,tmc2_product
07-1-054172,-14.9948,70.0059,1.5016,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054172,-14.9948,70.0059,1.5016,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054172,-14.9948,70.0059,1.5016,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054173,-14.953,69.5314,1.13926,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054174,-14.9608,69.4909,1.39195,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054175,-14.9987,69.3965,1.08264,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054176,-15.0387,69.3294,1.98896,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054178,-15.072,69.2827,1.54066,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054179,-15.1746,69.3771,1.42144,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
